Country,Rating,Date,Version,Username,Title,Content,Combined,Sentiment
US,5,2025-01-10,1.0.9,"Not bad:),",One problem,I love how there’s no ads and there’s no consequences for losing battles I love the cards especially gengar I don’t have him yet but he’s my favorite and I hope I get him and I can’t wait for trading to come out and I have one problem I don’t like how long u have to wait to open a card pack and can only open two max.,One problemI love how there’s no ads and there’s no consequences for losing battles I love the cards especially gengar I don’t have him yet but he’s my favorite and I hope I get him and I can’t wait for trading to come out and I have one problem I don’t like how long u have to wait to open a card pack and can only open two max.,Positive
US,1,2025-01-10,1.0.9,QuiQui25,Fix the pack RNG.,"Pretty ridiculous when you get one of the basic event Pokemon from the promo pack you got from either the advanced or expert level battles. For the amount of times and work we have to put in for those ones, the pulls on the promo packs should be better. 
Also, the fact that my friends and I all have like 500 salandits from the new mythical island pack set, but are all missing just one card to finish is also pretty ridiculous. Also coin flips. COIN FLIPS.","Fix the pack RNG.Pretty ridiculous when you get one of the basic event Pokemon from the promo pack you got from either the advanced or expert level battles. For the amount of times and work we have to put in for those ones, the pulls on the promo packs should be better. 
Also, the fact that my friends and I all have like 500 salandits from the new mythical island pack set, but are all missing just one card to finish is also pretty ridiculous. Also coin flips. COIN FLIPS.",Negative
US,1,2025-01-10,1.0.9,shift.ftw,PvP is Broken,They’ve broken PvP with Celebi. Total rng show.,PvP is BrokenThey’ve broken PvP with Celebi. Total rng show.,Negative
US,5,2025-01-10,1.0.9,TheNameSamWasTakenAndSoWasThis,Love it! Needs Dark Mode!,"Love the app, tons of fun and reminds me of being a kid in the 90s again. 

The app needs dark mode compatibility. The bright white background is too hard on the eyes, especially playing at night.","Love it! Needs Dark Mode!Love the app, tons of fun and reminds me of being a kid in the 90s again. 

The app needs dark mode compatibility. The bright white background is too hard on the eyes, especially playing at night.",Positive
US,4,2025-01-10,1.0.9,Hass3636,TCG,Love the game! Been playing it since the release. Have the subscription. My only thing is this game will die out for me most likely and others if you don’t allow for more hourglasses to be obtained. Some missions only give you 1 or 2 hourglasses. Games like Pokémon unite give so much more benefits to the game and have less people playing it.,TCGLove the game! Been playing it since the release. Have the subscription. My only thing is this game will die out for me most likely and others if you don’t allow for more hourglasses to be obtained. Some missions only give you 1 or 2 hourglasses. Games like Pokémon unite give so much more benefits to the game and have less people playing it.,Positive
US,5,2025-01-10,1.0.9,Nehemiah 2354,Add mega forms,Pls add mega X and Y Charizard add mega pls,Add mega formsPls add mega X and Y Charizard add mega pls,Neutral
US,5,2025-01-10,1.0.9,Bipolar Llama,Great game,Great game I don’t usually play games for an extended period of time but this one has had me hooked for awhile. I do nightly battles with my fiancé and we open our packs together. Would recommend!,Great gameGreat game I don’t usually play games for an extended period of time but this one has had me hooked for awhile. I do nightly battles with my fiancé and we open our packs together. Would recommend!,Positive
US,1,2025-01-10,1.0.9,BRMCL,Coin Flip Not Legit,"I’ve accumulated several instances where I flip 8-14 times on an attack, usually with celebi and each time I only land 2 heads. That’s ridiculous improbability. But my opponents always land 3/4 or 4/5 every single time. So I’m assuming I’m facing hacked bots or this game is bugged.","Coin Flip Not LegitI’ve accumulated several instances where I flip 8-14 times on an attack, usually with celebi and each time I only land 2 heads. That’s ridiculous improbability. But my opponents always land 3/4 or 4/5 every single time. So I’m assuming I’m facing hacked bots or this game is bugged.",Negative
US,2,2025-01-10,1.0.9,134346,Do NOT spend money on this,Fun game but there’s no need to spend money on this. Typical Japanese gacha cash grab with no awareness about user experience and riding the Pokemon hype train. Maybe reduce the unnecessary animations and I might want to spend money. And this is coming from a Japanese person who grew up on Pokemon,Do NOT spend money on thisFun game but there’s no need to spend money on this. Typical Japanese gacha cash grab with no awareness about user experience and riding the Pokemon hype train. Maybe reduce the unnecessary animations and I might want to spend money. And this is coming from a Japanese person who grew up on Pokemon,Negative
US,2,2025-01-10,1.0.9,Nicknameiwantisalreadytaken,Matchmaking,This is ridiculous. Since I’ve reached level 10 I have gotten nothing but matches against people who are level 25+. I’ve lost like 20 games in a row. I was loving the game until this.,MatchmakingThis is ridiculous. Since I’ve reached level 10 I have gotten nothing but matches against people who are level 25+. I’ve lost like 20 games in a row. I was loving the game until this.,Negative
US,4,2025-01-10,1.0.9,𝓬𝓸𝓷𝓯𝓾𝓼𝓲𝓷𝓰,𝓖𝓸𝓸𝓭 𝓫𝓾𝓽 𝓫𝓪𝓽𝓽𝓵𝓮 𝓪𝓻𝓮 𝓤𝓷𝓯𝓪𝓲𝓻,"𝓘 𝔀𝓲𝓵𝓵 𝓻𝓪𝓽𝓮 𝓽𝓱𝓲𝓼 𝓪 𝓯𝓲𝓿𝓮 𝓼𝓽𝓪𝓻 𝓫𝓾𝓽 𝓲𝓷 𝓽𝓱𝓮 𝓫𝓪𝓽𝓽𝓵𝓮  𝓘 𝓱𝓪𝓭 𝓾𝓼𝓮 𝓽𝓱𝓮𝓷𝓹𝓸𝓸𝓹𝔂 𝓸𝓷𝓮𝓼 𝓽𝓵𝓷𝓸𝓽 𝓽𝓱𝓮 𝓰𝓸𝓸𝓭 𝓸𝓷𝓮𝓼 𝓪𝓷𝓭 𝓘 𝓴𝓮𝓮𝓹 𝓰𝓮𝓽𝓽𝓲𝓷𝓰 𝓽𝓱𝓮 𝓼𝓪𝓶𝓮 𝓮𝓷𝓮𝓻𝓰𝔂 

𝓚","𝓖𝓸𝓸𝓭 𝓫𝓾𝓽 𝓫𝓪𝓽𝓽𝓵𝓮 𝓪𝓻𝓮 𝓤𝓷𝓯𝓪𝓲𝓻𝓘 𝔀𝓲𝓵𝓵 𝓻𝓪𝓽𝓮 𝓽𝓱𝓲𝓼 𝓪 𝓯𝓲𝓿𝓮 𝓼𝓽𝓪𝓻 𝓫𝓾𝓽 𝓲𝓷 𝓽𝓱𝓮 𝓫𝓪𝓽𝓽𝓵𝓮  𝓘 𝓱𝓪𝓭 𝓾𝓼𝓮 𝓽𝓱𝓮𝓷𝓹𝓸𝓸𝓹𝔂 𝓸𝓷𝓮𝓼 𝓽𝓵𝓷𝓸𝓽 𝓽𝓱𝓮 𝓰𝓸𝓸𝓭 𝓸𝓷𝓮𝓼 𝓪𝓷𝓭 𝓘 𝓴𝓮𝓮𝓹 𝓰𝓮𝓽𝓽𝓲𝓷𝓰 𝓽𝓱𝓮 𝓼𝓪𝓶𝓮 𝓮𝓷𝓮𝓻𝓰𝔂 

𝓚",Neutral
US,5,2025-01-10,1.0.9,shs77gu,Good but hopefully gets better,One of my problems is that trading isn’t here and that the pull rates are so low. You see sometimes luck is great and sometimes it’s not. OBVIOUSLY! But the gold cards also need work like it’s just a pokemon on gold!? And I wish you could open more packs without spending money. But the game is great and would recommend,Good but hopefully gets betterOne of my problems is that trading isn’t here and that the pull rates are so low. You see sometimes luck is great and sometimes it’s not. OBVIOUSLY! But the gold cards also need work like it’s just a pokemon on gold!? And I wish you could open more packs without spending money. But the game is great and would recommend,Positive
US,5,2025-01-10,1.0.9,G homes c bob,Need better rewards for gold players,"Love the game, but as a paid player, I’d like to see a little more effort in the rewards that’s all.","Need better rewards for gold playersLove the game, but as a paid player, I’d like to see a little more effort in the rewards that’s all.",Neutral
US,3,2025-01-10,1.0.9,ara336,Unpaid gold stops counting,"I adore this game. I absolutely do. I’ve been playing it for months now and I’ve loved practically every second of it; it’s accessible and pleasant and most of all satisfying. Or at least, I’d thought it to be. It seems that after a certain point, unpaid pokegold doesn’t count to certain refreshes. I’d been saving my stamina points to do another 10 pack pull, but despite having 6 pokegold to my account and it only requiring 4 to refresh, the app is saying I just don’t have enough pokegold. 

I’ve really prided myself on not spending real world money in this game, and this just feels scummy. What’s the point of leveling up and saving if what I’ve earned through my time investment is valueless? It’s disappointing and upsetting, especially when I really only use the app to admire the artwork. I would’ve rated it much higher otherwise.","Unpaid gold stops countingI adore this game. I absolutely do. I’ve been playing it for months now and I’ve loved practically every second of it; it’s accessible and pleasant and most of all satisfying. Or at least, I’d thought it to be. It seems that after a certain point, unpaid pokegold doesn’t count to certain refreshes. I’d been saving my stamina points to do another 10 pack pull, but despite having 6 pokegold to my account and it only requiring 4 to refresh, the app is saying I just don’t have enough pokegold. 

I’ve really prided myself on not spending real world money in this game, and this just feels scummy. What’s the point of leveling up and saving if what I’ve earned through my time investment is valueless? It’s disappointing and upsetting, especially when I really only use the app to admire the artwork. I would’ve rated it much higher otherwise.",Negative
US,4,2025-01-10,1.0.9,Fischer’s review,Review,"It holds up to the name being a pack opening game it is very satisfying to open packs and see new cards and it’s just generally good the only part I don’t like is having to wait to open packs.
But hey! At least it’s not pay to win 👍","ReviewIt holds up to the name being a pack opening game it is very satisfying to open packs and see new cards and it’s just generally good the only part I don’t like is having to wait to open packs.
But hey! At least it’s not pay to win 👍",Positive
US,3,2025-01-10,1.0.9,yeutate,it's...okay,"i love the card collecting part of this game even if the packs don&#39;t offer much. however, my biggest problem with this game is the battle aspect. yes, objectively battling is fun...when you aren&#39;t going up against the advance ai... there&#39;s no reason why the advance ai can use all their support cards in one turn just so they can play all their misty cards on their articuno ex bro😭😭 just make the ai decisions smarter like the whole vaporeon and articuno is a very smart play...but why are they using 2 professor oaks and 2 mistys in 1 whole turn?!?! not even advance that&#39;s just cheating😭😭 idk but i&#39;ve seen people saying it&#39;s to give a more difficult challenge, which while true, it more so makes me uninterested in playing against the ai if i know they can just cheat :/ wish the ai just had smarter decisions or learn how players play, but i guess that would be harder to implement.","it's...okayi love the card collecting part of this game even if the packs don&#39;t offer much. however, my biggest problem with this game is the battle aspect. yes, objectively battling is fun...when you aren&#39;t going up against the advance ai... there&#39;s no reason why the advance ai can use all their support cards in one turn just so they can play all their misty cards on their articuno ex bro😭😭 just make the ai decisions smarter like the whole vaporeon and articuno is a very smart play...but why are they using 2 professor oaks and 2 mistys in 1 whole turn?!?! not even advance that&#39;s just cheating😭😭 idk but i&#39;ve seen people saying it&#39;s to give a more difficult challenge, which while true, it more so makes me uninterested in playing against the ai if i know they can just cheat :/ wish the ai just had smarter decisions or learn how players play, but i guess that would be harder to implement.",Negative
US,5,2025-01-09,1.0.9,Natalie7:3,Great game,I learned how to play the card game through the app. It makes it easy to understand too. I can’t wait until the update where you can trade cards comes out.,Great gameI learned how to play the card game through the app. It makes it easy to understand too. I can’t wait until the update where you can trade cards comes out.,Positive
US,5,2025-01-09,1.0.9,ethan0572,very fun,try it,very funtry it,Positive
US,1,2025-01-09,1.0.9,jaydawg8,2 stars so you read!,"So, I want to say that I love this game, because I love pokemon tcg &amp; the original gameboy color game. It’s such an underrated card game! I originally gave this 1 star because I felt like it took away from the original card game, then I gave it 5 stars because I got into it &amp; the new play styles, as well as online battling (once I had enough cards I could build with). Now I’m giving it 1 star again because it’s starting to feel like beta testing rather than a launch. Not much has happened since launch, aside from 1 new set of cards. The battles are getting stale because there’s really only a few decks you could use (unless you don’t mind getting destroyed by the meta every other duel). New cards need to drop, there’s not many here, this limits deck building. To kill some time, you could offer more events and restricted battles. For example: a 3 star card cap. Or Anti-Ex league. Or multicolor decks only. You get the idea, limiting the cards we can use from this small batch will force players to be more creative. 

Right now, any deck based around PokemonEx will dominate. I’m tired of having to use my LaprasEx/Articuno deck, but it’s the only one that competes against other Ex decks (i just use 2 Lapras Ex, 1 articuno ex, and a regular lapras lol, no point in adding more pokemon cause theres only 3 points, might as well have my best at battle). Pikachu Ex &amp; Zapdos Ex is another easy winner as well as Mewtwo/gardevoir. Steel typing is currently useless, there’s like 5 cards, and no trainer/support cards to help. Now we have the celebi decks, but no one is really getting creative with Mew, it pretty much gets tacked onto the already overpowered Mewtwo deck. 

Dragonite is sick, and its great with eevee, but its rendered useless by the energy system. Multi-type decks are useless cause youre at the mercy of RNG with which energy you get. Ive been in situations where id win if i could pull the right energy, but ill have my dragonite loaded with thunder energy, and not get a water energy for 6 turns!!! How could you warrant playing a multi-type deck if you might just never get the energy you need. You should at least make it so it goes back and forth, like: water, thunder, water, thunder, etc. And now you added 1 more dragon, and it takes water+fire energy. I tried hard to figure out how to use it, but the only way to use it is to accept a lot of losses. 

Also we need to be able to collect more cards. 1 more pack a day for $10/mo isn’t really worth it, I rather wait to get more “thanks” from other players and use the shop to get hourglasses. I want to help out and support but I just can’t get behind the subscription, $120 a year for an extra pack a day, come on, this game isn’t worth more than Zelda lol, maybe make it $3/mo? I got bored of battling, so now I just casually log in and see if I get a pack or if there’s a wonder pick worth chancing my time. Hoping to keep collecting so that when you fix this game, I won’t be too far behind. Also, I see a lot of reviews about the RNG coin flips, originally I thought this was from salty players, but the amount of times I have my Celebi loaded with like 8+ energy and I only flip 1 heads is insane. 

I could be hooked to this game, I was for two weeks, now I’m bored. Y’all need to make some fixes fast, or this ones going forgotten. And just make the coin flips 50/50, really. The coin flips &amp; the good cards that require them almost feel useless because of how much anxiety people get from flipping 9 tails in a row. I mean come on, those odds are insane to happen in real life","2 stars so you read!So, I want to say that I love this game, because I love pokemon tcg &amp; the original gameboy color game. It’s such an underrated card game! I originally gave this 1 star because I felt like it took away from the original card game, then I gave it 5 stars because I got into it &amp; the new play styles, as well as online battling (once I had enough cards I could build with). Now I’m giving it 1 star again because it’s starting to feel like beta testing rather than a launch. Not much has happened since launch, aside from 1 new set of cards. The battles are getting stale because there’s really only a few decks you could use (unless you don’t mind getting destroyed by the meta every other duel). New cards need to drop, there’s not many here, this limits deck building. To kill some time, you could offer more events and restricted battles. For example: a 3 star card cap. Or Anti-Ex league. Or multicolor decks only. You get the idea, limiting the cards we can use from this small batch will force players to be more creative. 

Right now, any deck based around PokemonEx will dominate. I’m tired of having to use my LaprasEx/Articuno deck, but it’s the only one that competes against other Ex decks (i just use 2 Lapras Ex, 1 articuno ex, and a regular lapras lol, no point in adding more pokemon cause theres only 3 points, might as well have my best at battle). Pikachu Ex &amp; Zapdos Ex is another easy winner as well as Mewtwo/gardevoir. Steel typing is currently useless, there’s like 5 cards, and no trainer/support cards to help. Now we have the celebi decks, but no one is really getting creative with Mew, it pretty much gets tacked onto the already overpowered Mewtwo deck. 

Dragonite is sick, and its great with eevee, but its rendered useless by the energy system. Multi-type decks are useless cause youre at the mercy of RNG with which energy you get. Ive been in situations where id win if i could pull the right energy, but ill have my dragonite loaded with thunder energy, and not get a water energy for 6 turns!!! How could you warrant playing a multi-type deck if you might just never get the energy you need. You should at least make it so it goes back and forth, like: water, thunder, water, thunder, etc. And now you added 1 more dragon, and it takes water+fire energy. I tried hard to figure out how to use it, but the only way to use it is to accept a lot of losses. 

Also we need to be able to collect more cards. 1 more pack a day for $10/mo isn’t really worth it, I rather wait to get more “thanks” from other players and use the shop to get hourglasses. I want to help out and support but I just can’t get behind the subscription, $120 a year for an extra pack a day, come on, this game isn’t worth more than Zelda lol, maybe make it $3/mo? I got bored of battling, so now I just casually log in and see if I get a pack or if there’s a wonder pick worth chancing my time. Hoping to keep collecting so that when you fix this game, I won’t be too far behind. Also, I see a lot of reviews about the RNG coin flips, originally I thought this was from salty players, but the amount of times I have my Celebi loaded with like 8+ energy and I only flip 1 heads is insane. 

I could be hooked to this game, I was for two weeks, now I’m bored. Y’all need to make some fixes fast, or this ones going forgotten. And just make the coin flips 50/50, really. The coin flips &amp; the good cards that require them almost feel useless because of how much anxiety people get from flipping 9 tails in a row. I mean come on, those odds are insane to happen in real life",Neutral
US,4,2025-01-09,1.0.9,Si si me,It’s so fun to see that I can get Pokémon on a device,You should play it,It’s so fun to see that I can get Pokémon on a deviceYou should play it,Positive
US,5,2025-01-09,1.0.9,@!dèñ,Hehehe,You need to add trading! This would be #1 game of the year with trading! Make the trading platforms are battling platforms and be able to zoom into the card to inspect the cards! Please respond with info and maybe a little gift in game :) my name in game is Hehehe if you would like to know! Have a good 2025 and god bless!,HeheheYou need to add trading! This would be #1 game of the year with trading! Make the trading platforms are battling platforms and be able to zoom into the card to inspect the cards! Please respond with info and maybe a little gift in game :) my name in game is Hehehe if you would like to know! Have a good 2025 and god bless!,Positive
US,4,2025-01-09,1.0.9,Akgsming,Luck base,Great game and can be addictive at the beginning but slow as you level up. Opponents allways have luck on their side during coin flips especially for misty.,Luck baseGreat game and can be addictive at the beginning but slow as you level up. Opponents allways have luck on their side during coin flips especially for misty.,Positive
